,distance,physical_error_probability,gamma
0,3,1e-05,1.000500185066899
1,3,1.6681005372000593e-05,1.0006253251598896
2,3,2.782559402207126e-05,1.0008756917723232
3,3,4.641588833612782e-05,1.001401935143332
4,3,7.742636826811278e-05,1.0024303023428742
5,3,0.0001291549665014884,1.0042922981470612
6,3,0.00021544346900318823,1.0068423378770603
7,3,0.00035938136638046257,1.0119642564576874
8,3,0.0005994842503189409,1.0237248770037886
9,3,0.001,1.0425633323978232
10,3,0.0011,1.048486400492926
11,3,0.0013282051282051282,1.063060064777973
12,3,0.0015564102564102566,1.0820435345524781
13,3,0.0017846153846153847,1.1003833361434365
14,3,0.002012820512820513,1.12213079658212
15,3,0.002241025641025641,1.1441766753157419
16,3,0.0024692307692307696,1.1719817744698295
17,3,0.0026974358974358975,1.19454067422444
18,3,0.0029256410256410254,1.2230408903003887
19,3,0.0031538461538461538,1.25872495375025
20,3,0.003382051282051282,1.2901592700390392
21,3,0.0036102564102564105,1.3304314852307018
22,3,0.003838461538461539,1.3680458331243055
23,3,0.004066666666666666,1.4084568182746184
24,3,0.004294871794871795,1.4536760120426775
25,3,0.004523076923076923,1.5049622229333024
26,3,0.004751282051282051,1.5618476465456381
27,3,0.00497948717948718,1.6227779039097527
28,3,0.005207692307692308,1.6693511055404513
29,3,0.005435897435897436,1.7448391960951566
30,3,0.005664102564102564,1.8257621890551214
31,3,0.005892307692307692,1.8915943981451102
32,3,0.006120512820512821,1.9693712541636896
33,3,0.006348717948717949,2.045570425134974
34,3,0.006576923076923077,2.116297463576974
35,3,0.006805128205128205,2.236482332954045
36,3,0.007033333333333333,2.3384259234880838
37,3,0.007261538461538462,2.4531720926424265
38,3,0.00748974358974359,2.5796799860574846
39,3,0.007717948717948718,2.701824398389574
40,3,0.007946153846153846,2.834461948421951
41,3,0.008174358974358973,2.9766119108095594
42,3,0.008402564102564103,3.1868977281300137
43,3,0.00863076923076923,3.366514067235798
44,3,0.00885897435897436,3.4895573613240933
45,3,0.009087179487179487,3.7189672532790303
46,3,0.009315384615384616,3.897243476253162
47,3,0.009543589743589743,4.073383126320379
48,3,0.009771794871794871,4.299278469762786
49,3,0.01,4.619443431851432
50,5,1e-05,1.0005252363529822
51,5,1.6681005372000593e-05,1.0007505040819071
52,5,2.782559402207126e-05,1.001101053460611
53,5,4.641588833612782e-05,1.0015522444436795
54,5,7.742636826811278e-05,1.0026315772957437
55,5,0.0001291549665014884,1.0042047631754825
56,5,0.00021544346900318823,1.0068440346540848
57,5,0.00035938136638046257,1.0111583558475634
58,5,0.0005994842503189409,1.0177832078325466
59,5,0.001,1.0307111843867693
60,5,0.0011,1.033930920358376
61,5,0.0013282051282051282,1.043656277230595
62,5,0.0015564102564102566,1.0536345641013094
63,5,0.0017846153846153847,1.0681463360103802
64,5,0.002012820512820513,1.0832526786414234
65,5,0.002241025641025641,1.096942133940881
66,5,0.0024692307692307696,1.1159386653696006
67,5,0.0026974358974358975,1.137779664376797
68,5,0.0029256410256410254,1.160944500303333
69,5,0.0031538461538461538,1.185420107899518
70,5,0.003382051282051282,1.2203385743154567
71,5,0.0036102564102564105,1.2506863614671804
72,5,0.003838461538461539,1.294653235437116
73,5,0.004066666666666666,1.332116769696272
74,5,0.004294871794871795,1.3883526349306998
75,5,0.004523076923076923,1.4459136299755775
76,5,0.004751282051282051,1.5175854415804706
77,5,0.00497948717948718,1.5765686034079052
78,5,0.005207692307692308,1.6722076503461876
79,5,0.005435897435897436,1.7465990182845945
80,5,0.005664102564102564,1.876408850238294
81,5,0.005892307692307692,1.9705354573723775
82,5,0.006120512820512821,2.102744436911413
83,5,0.006348717948717949,2.2933498295736205
84,5,0.006576923076923077,2.4373076521961536
85,5,0.006805128205128205,2.6654637498226865
86,5,0.007033333333333333,2.873796908302593
87,5,0.007261538461538462,3.0821549529072056
88,5,0.00748974358974359,3.437980085131215
89,5,0.007717948717948718,3.778531543137479
90,5,0.007946153846153846,4.082429523958612
91,5,0.008174358974358973,4.544062781805629
92,5,0.008402564102564103,5.091943131802459
93,5,0.00863076923076923,5.57382291167896
94,5,0.00885897435897436,6.3952056006395495
95,5,0.009087179487179487,6.952114497276609
96,5,0.009315384615384616,8.298687980928618
97,5,0.009543589743589743,9.057971014492756
98,5,0.009771794871794871,11.104941699056079
99,5,0.01,11.922225022219088
100,7,1e-05,1.0005752926492655
101,7,1.6681005372000593e-05,1.0007004265099109
102,7,2.782559402207126e-05,1.0013016921998599
103,7,4.641588833612782e-05,1.0014395397368945
104,7,7.742636826811278e-05,1.0025690069873108
105,7,0.0001291549665014884,1.0044314237772045
106,7,0.00021544346900318823,1.0063268254955726
107,7,0.00035938136638046257,1.0104066562568161
108,7,0.0005994842503189409,1.0167883232553392
109,7,0.001,1.0286319719979522
110,7,0.0011,1.0310581453750218
111,7,0.0013282051282051282,1.0390487902370702
112,7,0.0015564102564102566,1.047436911594295
113,7,0.0017846153846153847,1.0568655431912284
114,7,0.002012820512820513,1.0652591843649222
115,7,0.002241025641025641,1.0742422293603506
116,7,0.0024692307692307696,1.0881665352520085
117,7,0.0026974358974358975,1.1007157112774946
118,7,0.0029256410256410254,1.1157292543540502
119,7,0.0031538461538461538,1.1356635426620716
120,7,0.003382051282051282,1.1579533707925198
121,7,0.0036102564102564105,1.1836004207411321
122,7,0.003838461538461539,1.2098811734977062
123,7,0.004066666666666666,1.2509863395281573
124,7,0.004294871794871795,1.2843411861876088
125,7,0.004523076923076923,1.327194107150633
126,7,0.004751282051282051,1.3814462041494733
127,7,0.00497948717948718,1.4414342933339148
128,7,0.005207692307692308,1.5152089156369042
129,7,0.005435897435897436,1.607311105156639
130,7,0.005664102564102564,1.7092551030966538
131,7,0.005892307692307692,1.8308170140388274
132,7,0.006120512820512821,1.9714706895052871
133,7,0.006348717948717949,2.13274312957159
134,7,0.006576923076923077,2.3411064028588493
135,7,0.006805128205128205,2.5703562629704497
136,7,0.007033333333333333,2.8679610680672134
137,7,0.007261538461538462,3.10583814152195
138,7,0.00748974358974359,3.554181106973867
139,7,0.007717948717948718,4.054123228543302
