     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,        30,         0,   0.014,pymatching,ce4753775dc068bea72e8bf09297d1cc191db8ab9284164d0ef4e7d3da8a9372,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0025256410256410257}",
      1297,        11,         0,   0.010,pymatching,74a7f6d905253fd37ea4f4ba797b183c771144f5d340ea25167d16b31950906c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.002169230769230769}",
      3072,        27,         0,   0.017,pymatching,ce4753775dc068bea72e8bf09297d1cc191db8ab9284164d0ef4e7d3da8a9372,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0025256410256410257}",
      3072,        25,         0,   0.018,pymatching,74a7f6d905253fd37ea4f4ba797b183c771144f5d340ea25167d16b31950906c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.002169230769230769}",
      3345,         0,         0,   0.011,pymatching,d0471e0fb9a00d96186e876ef807590ab7185844a04b59ada7fdc29c800740bd,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":7.742636826811278e-05}",
      2321,         2,         0,   0.010,pymatching,05ff17a05bb87298b75612d51a9cf2082550bd9587289a47f839be623cfb886d,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0005994842503189409}",
      2321,         5,         0,   0.011,pymatching,a72e3369ff173df1f41dcfd5c820a5a9f5eb0fd8ee92c7f9dbb3885d979e4e46,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.001}",
      2321,         3,         0,   0.010,pymatching,e5c4fe9b2c939cfdcc6f8771d2f07d512a05b0a474f386c99aeea0b4f1d9c2c5,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0011}",
      4096,        47,         0,   0.022,pymatching,ce4753775dc068bea72e8bf09297d1cc191db8ab9284164d0ef4e7d3da8a9372,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0025256410256410257}",
      3345,         0,         0,   0.011,pymatching,54ac788aa2ac994e3b4d3f52a2c83b00e04a0caab25451f28f615452e46a48ac,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1e-05}",
      3345,         0,         0,   0.011,pymatching,ef794703ec77f329343acb38522165b59d3ae960c6fa039b5b846c3b8415d19e,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1.6681005372000593e-05}",
      5120,         0,         0,   0.014,pymatching,d0471e0fb9a00d96186e876ef807590ab7185844a04b59ada7fdc29c800740bd,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":7.742636826811278e-05}",
      4096,         6,         0,   0.014,pymatching,05ff17a05bb87298b75612d51a9cf2082550bd9587289a47f839be623cfb886d,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0005994842503189409}",
      1297,        23,         0,   0.013,pymatching,3b1ed255061da032eb038d08945d27dcb9c90b67fef716ef75b46f3de41fba74,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0035948717948717946}",
      4096,        40,         0,   0.024,pymatching,74a7f6d905253fd37ea4f4ba797b183c771144f5d340ea25167d16b31950906c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.002169230769230769}",
      4096,        14,         0,   0.015,pymatching,e5c4fe9b2c939cfdcc6f8771d2f07d512a05b0a474f386c99aeea0b4f1d9c2c5,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0011}",
      4096,         5,         0,   0.017,pymatching,a72e3369ff173df1f41dcfd5c820a5a9f5eb0fd8ee92c7f9dbb3885d979e4e46,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.001}",
      5120,         0,         0,   0.014,pymatching,54ac788aa2ac994e3b4d3f52a2c83b00e04a0caab25451f28f615452e46a48ac,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1e-05}",
      5120,         0,         0,   0.014,pymatching,ef794703ec77f329343acb38522165b59d3ae960c6fa039b5b846c3b8415d19e,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1.6681005372000593e-05}",
      3345,         0,         0,   0.011,pymatching,e155899f08a86cbddbbab1e4d07ab959674396fc2472011f46dcae317591d777,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":2.782559402207126e-05}",
      2048,        53,         0,   0.017,pymatching,3b1ed255061da032eb038d08945d27dcb9c90b67fef716ef75b46f3de41fba74,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0035948717948717946}",
      7168,         0,         0,   0.020,pymatching,d0471e0fb9a00d96186e876ef807590ab7185844a04b59ada7fdc29c800740bd,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":7.742636826811278e-05}",
      5120,        58,         0,   0.028,pymatching,ce4753775dc068bea72e8bf09297d1cc191db8ab9284164d0ef4e7d3da8a9372,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0025256410256410257}",
      3345,         0,         0,   0.012,pymatching,713d476843dbead368fdfd4175f181e2290f84cfe15cf661c6e9001d6192d37c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0001291549665014884}",
      6144,         3,         0,   0.022,pymatching,05ff17a05bb87298b75612d51a9cf2082550bd9587289a47f839be623cfb886d,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0005994842503189409}",
      3345,         0,         0,   0.012,pymatching,fa50254c846f68cc06c9817bb399357c0824ddceae2e9bd41d04b714baf85e19,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.00021544346900318823}",
      6144,        18,         0,   0.022,pymatching,e5c4fe9b2c939cfdcc6f8771d2f07d512a05b0a474f386c99aeea0b4f1d9c2c5,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0011}",
      5120,        20,         0,   0.021,pymatching,a72e3369ff173df1f41dcfd5c820a5a9f5eb0fd8ee92c7f9dbb3885d979e4e46,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.001}",
      7168,         0,         0,   0.020,pymatching,54ac788aa2ac994e3b4d3f52a2c83b00e04a0caab25451f28f615452e46a48ac,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1e-05}",
