     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5393,       249,         0,   0.010,pymatching,b7287558f854836b7e276badd239eccb7d2d5a7576b84ae2e5e0037499bca8fa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.014999999999999998}",
      8192,       410,         0,   0.014,pymatching,b7287558f854836b7e276badd239eccb7d2d5a7576b84ae2e5e0037499bca8fa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.014999999999999998}",
      6417,         0,         0,   0.011,pymatching,80cf9077c4399287e25010c4837b6d08342ce001fcd1c2031b5a11a59af49a47,"{""config"":[""X+"",""X""],""d"":5,""p"":7.742636826811278e-05}",
     12288,       659,         0,   0.021,pymatching,b7287558f854836b7e276badd239eccb7d2d5a7576b84ae2e5e0037499bca8fa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.014999999999999998}",
     21777,         0,         0,   0.010,pymatching,f3bcbd6ce5f4ac70541a5b56bd329f7f9e93ad3bfed1950af2d5805ea85930df,"{""config"":[""X+"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      6417,       264,         0,   0.011,pymatching,19a54a0c9b4305cf892a109c3d89e375f3d8811b045e0fb2462ab556e73e6f42,"{""config"":[""X+"",""X""],""d"":3,""p"":0.012861538461538462}",
     13585,        38,         0,   0.010,pymatching,f36897b0bc2e053583c3e363516babbeb7fd43bfec23c78a22bcdf8033835671,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003238461538461538}",
     21777,         0,         0,   0.009,pymatching,dc9413d892a0e376eb90d62699aa3fef82bd54bb8b05d85d217022fc1a107e90,"{""config"":[""X+"",""X""],""d"":3,""p"":1e-05}",
      9216,         0,         0,   0.015,pymatching,80cf9077c4399287e25010c4837b6d08342ce001fcd1c2031b5a11a59af49a47,"{""config"":[""X+"",""X""],""d"":5,""p"":7.742636826811278e-05}",
     32768,         0,         0,   0.013,pymatching,f3bcbd6ce5f4ac70541a5b56bd329f7f9e93ad3bfed1950af2d5805ea85930df,"{""config"":[""X+"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      9216,       350,         0,   0.014,pymatching,19a54a0c9b4305cf892a109c3d89e375f3d8811b045e0fb2462ab556e73e6f42,"{""config"":[""X+"",""X""],""d"":3,""p"":0.012861538461538462}",
     20480,        46,         0,   0.014,pymatching,f36897b0bc2e053583c3e363516babbeb7fd43bfec23c78a22bcdf8033835671,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003238461538461538}",
     33792,         0,         0,   0.013,pymatching,dc9413d892a0e376eb90d62699aa3fef82bd54bb8b05d85d217022fc1a107e90,"{""config"":[""X+"",""X""],""d"":3,""p"":1e-05}",
     16384,       828,         0,   0.028,pymatching,b7287558f854836b7e276badd239eccb7d2d5a7576b84ae2e5e0037499bca8fa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.014999999999999998}",
      6417,       291,         0,   0.011,pymatching,d9e1f89b95cc4d4b0c46d4d4da6df2a73e9132f4175d200850e8dfd280c26787,"{""config"":[""X+"",""X""],""d"":3,""p"":0.01393076923076923}",
     12288,         0,         0,   0.020,pymatching,80cf9077c4399287e25010c4837b6d08342ce001fcd1c2031b5a11a59af49a47,"{""config"":[""X+"",""X""],""d"":5,""p"":7.742636826811278e-05}",
     47104,         0,         0,   0.019,pymatching,f3bcbd6ce5f4ac70541a5b56bd329f7f9e93ad3bfed1950af2d5805ea85930df,"{""config"":[""X+"",""X""],""d"":3,""p"":2.782559402207126e-05}",
     29696,        91,         0,   0.019,pymatching,f36897b0bc2e053583c3e363516babbeb7fd43bfec23c78a22bcdf8033835671,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003238461538461538}",
     13312,       501,         0,   0.020,pymatching,19a54a0c9b4305cf892a109c3d89e375f3d8811b045e0fb2462ab556e73e6f42,"{""config"":[""X+"",""X""],""d"":3,""p"":0.012861538461538462}",
      9216,       420,         0,   0.015,pymatching,d9e1f89b95cc4d4b0c46d4d4da6df2a73e9132f4175d200850e8dfd280c26787,"{""config"":[""X+"",""X""],""d"":3,""p"":0.01393076923076923}",
     48128,         0,         0,   0.019,pymatching,dc9413d892a0e376eb90d62699aa3fef82bd54bb8b05d85d217022fc1a107e90,"{""config"":[""X+"",""X""],""d"":3,""p"":1e-05}",
     17408,         0,         0,   0.028,pymatching,80cf9077c4399287e25010c4837b6d08342ce001fcd1c2031b5a11a59af49a47,"{""config"":[""X+"",""X""],""d"":5,""p"":7.742636826811278e-05}",
     12288,       561,         0,   0.020,pymatching,d9e1f89b95cc4d4b0c46d4d4da6df2a73e9132f4175d200850e8dfd280c26787,"{""config"":[""X+"",""X""],""d"":3,""p"":0.01393076923076923}",
     63488,         0,         0,   0.026,pymatching,f3bcbd6ce5f4ac70541a5b56bd329f7f9e93ad3bfed1950af2d5805ea85930df,"{""config"":[""X+"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      6417,       247,         0,   0.010,pymatching,31b2b04e9ab46b9dd2801023598a994adb3d9f0fd50388c8140ad89e99b7a96d,"{""config"":[""X+"",""X""],""d"":3,""p"":0.013217948717948718}",
     22528,      1159,         0,   0.038,pymatching,b7287558f854836b7e276badd239eccb7d2d5a7576b84ae2e5e0037499bca8fa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.014999999999999998}",
      7441,       233,         0,   0.011,pymatching,f3850e6d35b30f29818f35b9e8cee383326a91d429c9aa4bacc6859c9c47382c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.011435897435897435}",
      7441,       134,         0,   0.010,pymatching,1a29b8026e58bc70bc9f053589eab90c5de506b6aeb044d52c1c5cb1e5853cde,"{""config"":[""X+"",""X""],""d"":3,""p"":0.008584615384615385}",
     18432,       697,         0,   0.027,pymatching,19a54a0c9b4305cf892a109c3d89e375f3d8811b045e0fb2462ab556e73e6f42,"{""config"":[""X+"",""X""],""d"":3,""p"":0.012861538461538462}",
     39936,       126,         0,   0.027,pymatching,f36897b0bc2e053583c3e363516babbeb7fd43bfec23c78a22bcdf8033835671,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003238461538461538}",
      6417,       128,         0,   0.011,pymatching,ddab2defe45ed082b27a997915b445fa5b941c1a2d3ec794860a6b47eb3097aa,"{""config"":[""X+"",""X""],""d"":3,""p"":0.00894102564102564}",
