     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     22801,         0,         0,   0.010,pymatching,2656e86d2e2514569ab6db988c56fcaf77d153da006b9b42ecd659c71c49436c,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00035938136638046257}",
     34816,         2,         0,   0.013,pymatching,2656e86d2e2514569ab6db988c56fcaf77d153da006b9b42ecd659c71c49436c,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00035938136638046257}",
     21777,         0,         0,   0.009,pymatching,6d6c1a356eaf597d0498311a77d111474e59ec6318c3eca1103810a040f141c7,"{""config"":[""Z0"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
     49152,         2,         0,   0.019,pymatching,2656e86d2e2514569ab6db988c56fcaf77d153da006b9b42ecd659c71c49436c,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00035938136638046257}",
      6417,       273,         0,   0.011,pymatching,df8cf0e47306cd08f792c89793a6aa692d673389a80b06122c713404eba910ed,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.013574358974358974}",
     33792,         0,         0,   0.013,pymatching,6d6c1a356eaf597d0498311a77d111474e59ec6318c3eca1103810a040f141c7,"{""config"":[""Z0"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      6417,       287,         0,   0.011,pymatching,7696c9fc38b84feeebda0d451777a89e509ba30a317018d2b2799b7c7661fb63,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.01393076923076923}",
      9216,       395,         0,   0.014,pymatching,df8cf0e47306cd08f792c89793a6aa692d673389a80b06122c713404eba910ed,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.013574358974358974}",
      6417,       221,         0,   0.010,pymatching,e4f1fb20fe6c4114916157b6765a8f92430cb66cfb8fda3d60be29ff94b75814,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.012505128205128205}",
     68608,         4,         0,   0.026,pymatching,2656e86d2e2514569ab6db988c56fcaf77d153da006b9b42ecd659c71c49436c,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00035938136638046257}",
     48128,         0,         0,   0.019,pymatching,6d6c1a356eaf597d0498311a77d111474e59ec6318c3eca1103810a040f141c7,"{""config"":[""Z0"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
