     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,        40,         0,   0.011,pymatching,ad784003c2be5250e639f869fdc77f5fb8e5d0093df7d71bfaa2de4d89338c62,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0025256410256410257}",
      3345,         0,         0,   0.011,pymatching,36eb8ed544d76a951a27b65c6c40f8ab53ae9e22ff649e9b323e2a48c5bbcdce,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1e-05}",
      3345,         0,         0,   0.012,pymatching,0ab9b488ebce8f3fd5872e2a7963e1a1172e21a8702a0119fa3dda75ad349f27,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0001291549665014884}",
      5120,         0,         0,   0.014,pymatching,36eb8ed544d76a951a27b65c6c40f8ab53ae9e22ff649e9b323e2a48c5bbcdce,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1e-05}",
      3072,       102,         0,   0.021,pymatching,ad784003c2be5250e639f869fdc77f5fb8e5d0093df7d71bfaa2de4d89338c62,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0025256410256410257}",
      5120,         1,         0,   0.016,pymatching,0ab9b488ebce8f3fd5872e2a7963e1a1172e21a8702a0119fa3dda75ad349f27,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0001291549665014884}",
      2321,         4,         0,   0.010,pymatching,8c6ae920b468435a9566e874d8abb118ac54b646b859d9c0b2538aa157e95e65,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0005994842503189409}",
      3345,         0,         0,   0.011,pymatching,7d6fa1da4a9ba62b9e97e40ae95b532b3a3419577245469ae548c1e904fc26ed,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      1297,       459,         0,   0.036,pymatching,41af7b6305fbd5e1b5c3184a98cbdc93bd66da005bddf1cf0b2f6e3a11fadf72,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.012505128205128205}",
      1297,       166,         0,   0.014,pymatching,6c270c06a55974b8c47ef4cb73ce67283b34270d65754b3077eafb77629884d7,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.005376923076923077}",
      3345,         0,         0,   0.011,pymatching,35ddfa992f5b48ca01c5fdb66526c2a99031e5c19e96402168e252305674ace5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      2321,        24,         0,   0.014,pymatching,81520f8397354108ce514e9cc22ba8da61badffecaf2f981c1235b7666da51f8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0014564102564102565}",
      3345,         0,         0,   0.012,pymatching,10a831a1f8e9aa22e709fd8f64bcdf4f1e6b2c753e4910854568a7f26392d30e,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.00021544346900318823}",
      3345,         0,         0,   0.012,pymatching,0c5a969117f478ae9af4d6b6b8c6d4bb770e942b81cf497333726b02c4436785,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":7.742636826811278e-05}",
      7168,         0,         0,   0.020,pymatching,36eb8ed544d76a951a27b65c6c40f8ab53ae9e22ff649e9b323e2a48c5bbcdce,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1e-05}",
      1297,        49,         0,   0.011,pymatching,8cfb85f0ddc7e1b2891afa9cc9c0ab057fc6a2e03846ecbb2dbcce58d43a707b,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0028820512820512817}",
      4096,         9,         0,   0.015,pymatching,8c6ae920b468435a9566e874d8abb118ac54b646b859d9c0b2538aa157e95e65,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0005994842503189409}",
      5120,         0,         0,   0.015,pymatching,7d6fa1da4a9ba62b9e97e40ae95b532b3a3419577245469ae548c1e904fc26ed,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      3072,       109,         0,   0.021,pymatching,ad784003c2be5250e639f869fdc77f5fb8e5d0093df7d71bfaa2de4d89338c62,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0025256410256410257}",
      7168,         0,         0,   0.022,pymatching,0ab9b488ebce8f3fd5872e2a7963e1a1172e21a8702a0119fa3dda75ad349f27,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0001291549665014884}",
      5120,         0,         0,   0.015,pymatching,35ddfa992f5b48ca01c5fdb66526c2a99031e5c19e96402168e252305674ace5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      3072,        44,         0,   0.016,pymatching,81520f8397354108ce514e9cc22ba8da61badffecaf2f981c1235b7666da51f8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0014564102564102565}",
      2048,       215,         0,   0.020,pymatching,6c270c06a55974b8c47ef4cb73ce67283b34270d65754b3077eafb77629884d7,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.005376923076923077}",
      5120,         2,         0,   0.016,pymatching,10a831a1f8e9aa22e709fd8f64bcdf4f1e6b2c753e4910854568a7f26392d30e,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.00021544346900318823}",
      5120,         0,         0,   0.015,pymatching,0c5a969117f478ae9af4d6b6b8c6d4bb770e942b81cf497333726b02c4436785,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":7.742636826811278e-05}",
      2048,        94,         0,   0.015,pymatching,8cfb85f0ddc7e1b2891afa9cc9c0ab057fc6a2e03846ecbb2dbcce58d43a707b,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0028820512820512817}",
      1024,       387,         0,   0.027,pymatching,41af7b6305fbd5e1b5c3184a98cbdc93bd66da005bddf1cf0b2f6e3a11fadf72,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.012505128205128205}",
      3345,         0,         0,   0.012,pymatching,392327265965ab1a07b26d6df911e2c78e2f237a5c1af6324dbfde567b6cec7a,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1.6681005372000593e-05}",
      7168,         0,         0,   0.021,pymatching,7d6fa1da4a9ba62b9e97e40ae95b532b3a3419577245469ae548c1e904fc26ed,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      6144,        14,         0,   0.023,pymatching,8c6ae920b468435a9566e874d8abb118ac54b646b859d9c0b2538aa157e95e65,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0005994842503189409}",
     10240,         0,         0,   0.029,pymatching,36eb8ed544d76a951a27b65c6c40f8ab53ae9e22ff649e9b323e2a48c5bbcdce,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1e-05}",
      7168,         0,         0,   0.021,pymatching,35ddfa992f5b48ca01c5fdb66526c2a99031e5c19e96402168e252305674ace5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      4096,        57,         0,   0.021,pymatching,81520f8397354108ce514e9cc22ba8da61badffecaf2f981c1235b7666da51f8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0014564102564102565}",
      2321,        40,         0,   0.015,pymatching,247aea0fe3faa9f5e290665a4fc3448ba2a7d4e35bb1e4c7f42ce255dc953281,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0018128205128205128}",
      4096,       116,         0,   0.028,pymatching,ad784003c2be5250e639f869fdc77f5fb8e5d0093df7d71bfaa2de4d89338c62,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0025256410256410257}",
      2048,       273,         0,   0.020,pymatching,6c270c06a55974b8c47ef4cb73ce67283b34270d65754b3077eafb77629884d7,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.005376923076923077}",
      1297,       248,         0,   0.017,pymatching,890d9aba402b8b82a33c1c2e4e705551cbc14f392f21640048734949e29fa687,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.006802564102564103}",
      7168,         0,         0,   0.021,pymatching,0c5a969117f478ae9af4d6b6b8c6d4bb770e942b81cf497333726b02c4436785,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":7.742636826811278e-05}",
      7168,         2,         0,   0.022,pymatching,10a831a1f8e9aa22e709fd8f64bcdf4f1e6b2c753e4910854568a7f26392d30e,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.00021544346900318823}",
      9216,         2,         0,   0.028,pymatching,0ab9b488ebce8f3fd5872e2a7963e1a1172e21a8702a0119fa3dda75ad349f27,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0001291549665014884}",
      5120,         0,         0,   0.015,pymatching,392327265965ab1a07b26d6df911e2c78e2f237a5c1af6324dbfde567b6cec7a,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1.6681005372000593e-05}",
      3072,       128,         0,   0.022,pymatching,8cfb85f0ddc7e1b2891afa9cc9c0ab057fc6a2e03846ecbb2dbcce58d43a707b,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0028820512820512817}",
      1297,       111,         0,   0.014,pymatching,3a37ccf0960d741640e580be3dd2f0c09421bc7075c3c9cb160f226b2c568ef2,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.003951282051282051}",
      2321,        20,         0,   0.012,pymatching,4b28f8b89e4ae4030f4a3df3e45ff82e63a26f3aa9e2eb88763f28e26ed8e4f5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.001}",
      1024,       366,         0,   0.027,pymatching,41af7b6305fbd5e1b5c3184a98cbdc93bd66da005bddf1cf0b2f6e3a11fadf72,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.012505128205128205}",
      1297,       128,         0,   0.016,pymatching,cf447c44290fcb2f10553d2335b29bc917f4248cf3c5d5454393d7bbc6aef672,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.004664102564102564}",
      3072,        44,         0,   0.017,pymatching,247aea0fe3faa9f5e290665a4fc3448ba2a7d4e35bb1e4c7f42ce255dc953281,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0018128205128205128}",
      1297,       436,         0,   0.033,pymatching,e892b0b7f86fda2419b12015afe3b940bf806c7337c285e3331538260a53fad0,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.011435897435897435}",
     10240,         0,         0,   0.030,pymatching,7d6fa1da4a9ba62b9e97e40ae95b532b3a3419577245469ae548c1e904fc26ed,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      8192,        12,         0,   0.030,pymatching,8c6ae920b468435a9566e874d8abb118ac54b646b859d9c0b2538aa157e95e65,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0005994842503189409}",
      2321,        17,         0,   0.012,pymatching,43d4a27111378fa2bc0db107ff6318e12afef1772cdbe6deed300e8425dc111f,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0011}",
      1297,       169,         0,   0.018,pymatching,b9f45e9406a2bacf69ef8bdd214340e7c71c9f62b5bb56286a983ea92e7f653e,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.005733333333333333}",
      2048,       368,         0,   0.024,pymatching,890d9aba402b8b82a33c1c2e4e705551cbc14f392f21640048734949e29fa687,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.006802564102564103}",
      2048,       138,         0,   0.019,pymatching,3a37ccf0960d741640e580be3dd2f0c09421bc7075c3c9cb160f226b2c568ef2,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.003951282051282051}",
      7168,         0,         0,   0.020,pymatching,392327265965ab1a07b26d6df911e2c78e2f237a5c1af6324dbfde567b6cec7a,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":1.6681005372000593e-05}",
     10240,         0,         0,   0.029,pymatching,35ddfa992f5b48ca01c5fdb66526c2a99031e5c19e96402168e252305674ace5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      1297,       446,         0,   0.026,pymatching,1bc5f093d50e773ee6ef901575bb8d22438f5f6f314a0696a88ebaff1891c9ae,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.01107948717948718}",
      4096,        17,         0,   0.017,pymatching,4b28f8b89e4ae4030f4a3df3e45ff82e63a26f3aa9e2eb88763f28e26ed8e4f5,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.001}",
      3072,       377,         0,   0.029,pymatching,6c270c06a55974b8c47ef4cb73ce67283b34270d65754b3077eafb77629884d7,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.005376923076923077}",
      6144,        71,         0,   0.031,pymatching,81520f8397354108ce514e9cc22ba8da61badffecaf2f981c1235b7666da51f8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0014564102564102565}",
