     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3345,         0,         0,   0.011,pymatching,0cd4b5a073961291aa031fa9c9f183c8373e6432ba1681a87f66145379822a41,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0001291549665014884}",
      2321,         4,         0,   0.010,pymatching,1d0ae0959fa61aa6a198f15e5c4577781b47ce857c014fc9870e84c2d527bd6b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0005994842503189409}",
      3345,         0,         0,   0.011,pymatching,e7ebdb99ddc7ad13dc25c1fe4ed3b31107ff786053ea129a2a98452716ff3529,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      3345,         0,         0,   0.010,pymatching,9efbfae10e7343739f05e76983649be63ef5fe3f6d59d35767ba3d8861a89191,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      5120,         0,         0,   0.014,pymatching,0cd4b5a073961291aa031fa9c9f183c8373e6432ba1681a87f66145379822a41,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0001291549665014884}",
      3345,         0,         0,   0.011,pymatching,b44485b80bc2bceff992ea87f893a1ba60604a89127d5804605329ed9e589159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      3345,         0,         0,   0.011,pymatching,6f88cc61c45ff06e14528d2d31d55b5662b68ad315d049fefc35a78bc0012159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":7.742636826811278e-05}",
      6144,         0,         0,   0.016,pymatching,e7ebdb99ddc7ad13dc25c1fe4ed3b31107ff786053ea129a2a98452716ff3529,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      6144,         0,         0,   0.015,pymatching,9efbfae10e7343739f05e76983649be63ef5fe3f6d59d35767ba3d8861a89191,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      5120,        10,         0,   0.017,pymatching,1d0ae0959fa61aa6a198f15e5c4577781b47ce857c014fc9870e84c2d527bd6b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0005994842503189409}",
      1297,        57,         0,   0.011,pymatching,ce9d94e5ea6b098f03942e7d76b6c103f16711138050d865c266bf5630c9e49d,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0028820512820512817}",
      7168,         2,         0,   0.019,pymatching,0cd4b5a073961291aa031fa9c9f183c8373e6432ba1681a87f66145379822a41,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0001291549665014884}",
      6144,         0,         0,   0.016,pymatching,b44485b80bc2bceff992ea87f893a1ba60604a89127d5804605329ed9e589159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      2321,        21,         0,   0.011,pymatching,5d3a5d20d9cb4fd17839b07ad984798728aa4136944a503cd55cf2f08729f22c,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      6144,         1,         0,   0.016,pymatching,6f88cc61c45ff06e14528d2d31d55b5662b68ad315d049fefc35a78bc0012159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":7.742636826811278e-05}",
      2321,        29,         0,   0.012,pymatching,1e53d0c9b8bdec8f886c5f597e133ca1fb65de370df587c2556cef00bc0f85c7,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0014564102564102565}",
      2321,        13,         0,   0.011,pymatching,f85deb6e6d5330dc269cc563ed423d227f182af4c74fe98ae65af5b27e1e909f,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.001}",
      6144,        11,         0,   0.020,pymatching,1d0ae0959fa61aa6a198f15e5c4577781b47ce857c014fc9870e84c2d527bd6b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0005994842503189409}",
      8192,         0,         0,   0.021,pymatching,e7ebdb99ddc7ad13dc25c1fe4ed3b31107ff786053ea129a2a98452716ff3529,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      9216,         0,         0,   0.022,pymatching,9efbfae10e7343739f05e76983649be63ef5fe3f6d59d35767ba3d8861a89191,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      4096,        29,         0,   0.015,pymatching,5d3a5d20d9cb4fd17839b07ad984798728aa4136944a503cd55cf2f08729f22c,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      3345,         0,         0,   0.010,pymatching,724356ecaab77c7df3330142a068e96eea6b469aa048bf16610bcc56bfd4951e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
      3072,       124,         0,   0.021,pymatching,ce9d94e5ea6b098f03942e7d76b6c103f16711138050d865c266bf5630c9e49d,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0028820512820512817}",
      4096,        49,         0,   0.017,pymatching,1e53d0c9b8bdec8f886c5f597e133ca1fb65de370df587c2556cef00bc0f85c7,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0014564102564102565}",
      8192,         0,         0,   0.022,pymatching,b44485b80bc2bceff992ea87f893a1ba60604a89127d5804605329ed9e589159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      4096,        16,         0,   0.016,pymatching,f85deb6e6d5330dc269cc563ed423d227f182af4c74fe98ae65af5b27e1e909f,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.001}",
      8192,         0,         0,   0.022,pymatching,6f88cc61c45ff06e14528d2d31d55b5662b68ad315d049fefc35a78bc0012159,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":7.742636826811278e-05}",
     10240,         0,         0,   0.028,pymatching,0cd4b5a073961291aa031fa9c9f183c8373e6432ba1681a87f66145379822a41,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0001291549665014884}",
      6144,         0,         0,   0.014,pymatching,724356ecaab77c7df3330142a068e96eea6b469aa048bf16610bcc56bfd4951e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
      3345,         2,         0,   0.012,pymatching,478b6cfad8827e04eddeb7378dbe0bcbe494ac5f759098732905af07a70a7ff0,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00035938136638046257}",
      1297,        78,         0,   0.012,pymatching,c1bf212af1abbf5b0cfc7f041730a4d21e28fece90745a133e9773785976fa54,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.003951282051282051}",
      8192,        14,         0,   0.027,pymatching,1d0ae0959fa61aa6a198f15e5c4577781b47ce857c014fc9870e84c2d527bd6b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0005994842503189409}",
      3072,       133,         0,   0.021,pymatching,ce9d94e5ea6b098f03942e7d76b6c103f16711138050d865c266bf5630c9e49d,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0028820512820512817}",
      6144,        37,         0,   0.023,pymatching,5d3a5d20d9cb4fd17839b07ad984798728aa4136944a503cd55cf2f08729f22c,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
     11264,         0,         0,   0.029,pymatching,e7ebdb99ddc7ad13dc25c1fe4ed3b31107ff786053ea129a2a98452716ff3529,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":4.641588833612782e-05}",
     12288,         0,         0,   0.029,pymatching,9efbfae10e7343739f05e76983649be63ef5fe3f6d59d35767ba3d8861a89191,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      5120,        57,         0,   0.021,pymatching,1e53d0c9b8bdec8f886c5f597e133ca1fb65de370df587c2556cef00bc0f85c7,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0014564102564102565}",
