     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      6417,         0,         0,   0.011,pymatching,5dd0745ef49adc03d1763624c203142a1aeb1556c043d6478fde58622f17934b,"{""config"":[""Y+"",""Y""],""d"":5,""p"":4.641588833612782e-05}",
      9216,         0,         0,   0.015,pymatching,5dd0745ef49adc03d1763624c203142a1aeb1556c043d6478fde58622f17934b,"{""config"":[""Y+"",""Y""],""d"":5,""p"":4.641588833612782e-05}",
     20753,         1,         0,   0.009,pymatching,094244424a3bf204a531f9d7b7d1d43a6414c5b7616ede9e18dc2b8e33347317,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.00035938136638046257}",
      6417,       418,         0,   0.010,pymatching,f2332848e443d52a2aa2629a897832bd91c3476f65ca2a0ae50f3e5cd7268391,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.012505128205128205}",
     10513,       170,         0,   0.010,pymatching,22b82852cebe2d793d2919725058cb67336f6b35ffe024df46d05f953e5ff6b6,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.005733333333333333}",
     17681,         0,         0,   0.009,pymatching,58168bef05a465df2ae1ffe32c97b0c280a01c799294bc88de076b8c50bb5772,"{""config"":[""Y+"",""Y""],""d"":3,""p"":7.742636826811278e-05}",
     31744,         2,         0,   0.013,pymatching,094244424a3bf204a531f9d7b7d1d43a6414c5b7616ede9e18dc2b8e33347317,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.00035938136638046257}",
     12288,         0,         0,   0.019,pymatching,5dd0745ef49adc03d1763624c203142a1aeb1556c043d6478fde58622f17934b,"{""config"":[""Y+"",""Y""],""d"":5,""p"":4.641588833612782e-05}",
     10240,       609,         0,   0.015,pymatching,f2332848e443d52a2aa2629a897832bd91c3476f65ca2a0ae50f3e5cd7268391,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.012505128205128205}",
     15360,       232,         0,   0.014,pymatching,22b82852cebe2d793d2919725058cb67336f6b35ffe024df46d05f953e5ff6b6,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.005733333333333333}",
     21777,         0,         0,   0.009,pymatching,3f31cd20fd4567764927e4c9957a7782d9cda9ee23f09b3a2ab8add293bbae62,"{""config"":[""Y+"",""Y""],""d"":3,""p"":1e-05}",
     14609,        81,         0,   0.010,pymatching,e3b20d8e33e8b5243af076fdcd38f9a1bd6a3e7539635771b7721173509e7329,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.0028820512820512817}",
     11264,         0,         0,   0.012,pymatching,58168bef05a465df2ae1ffe32c97b0c280a01c799294bc88de076b8c50bb5772,"{""config"":[""Y+"",""Y""],""d"":3,""p"":7.742636826811278e-05}",
     13585,        96,         0,   0.010,pymatching,e653f60e4023282b12ab1c68f1cb27240ba55e79bc1e3c26f062945847afbee0,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.003238461538461538}",
     41984,         7,         0,   0.017,pymatching,094244424a3bf204a531f9d7b7d1d43a6414c5b7616ede9e18dc2b8e33347317,"{""config"":[""Y+"",""Y""],""d"":3,""p"":0.00035938136638046257}",
     33792,         0,         0,   0.013,pymatching,3f31cd20fd4567764927e4c9957a7782d9cda9ee23f09b3a2ab8add293bbae62,"{""config"":[""Y+"",""Y""],""d"":3,""p"":1e-05}",
