     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     20753,        49,         0,   0.009,pymatching,79e05c51e7d03b0d3e83ecc19000785a913c807c2f21c51a362e7ed29ffe41b8,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.001}",
     31744,        72,         0,   0.014,pymatching,79e05c51e7d03b0d3e83ecc19000785a913c807c2f21c51a362e7ed29ffe41b8,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.001}",
     44032,       100,         0,   0.019,pymatching,79e05c51e7d03b0d3e83ecc19000785a913c807c2f21c51a362e7ed29ffe41b8,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.001}",
     19729,        54,         0,   0.009,pymatching,1e9c6188347ec4dfe96ab1ce77aebfb44bf1f823ad0f9e3b89ef57e754177b45,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0011}",
     34065,         0,         0,   0.009,pymatching,f21d9e37ce436187bae8f7639dd653d88ec48c67fe2582a8ebf4a325a916f83e,"{""config"":[""Z0"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
     29696,        68,         0,   0.014,pymatching,1e9c6188347ec4dfe96ab1ce77aebfb44bf1f823ad0f9e3b89ef57e754177b45,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0011}",
     61440,       140,         0,   0.026,pymatching,79e05c51e7d03b0d3e83ecc19000785a913c807c2f21c51a362e7ed29ffe41b8,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.001}",
     51200,         0,         0,   0.013,pymatching,f21d9e37ce436187bae8f7639dd653d88ec48c67fe2582a8ebf4a325a916f83e,"{""config"":[""Z0"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      4369,       447,         0,   0.010,pymatching,2b068f9779f4911e8bcfd9f06e63e46524f76870e93ca12febbe4bbf61aaf6dc,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.008228205128205128}",
      6417,       414,         0,   0.011,pymatching,1859d5bb2fb5489995f7059d20a2423b9d54c9f8e2d5830c8150e73207424a1a,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.005733333333333333}",
     24849,        17,         0,   0.009,pymatching,a8e646d225afae9c981b4626409b32524bcffcaa9c09b7e01a0585d2010ce436,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0005994842503189409}",
      6417,       346,         0,   0.010,pymatching,66e93e913f38e43ce13af9ce4c25bc276b9616c349b6b392ba22815ebe6a0d89,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.005376923076923077}",
      7441,       295,         0,   0.010,pymatching,70379c8cef9230d4ca49a95f2ec05bf10429a14adf0f1c82c75f44928dda3c54,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.004664102564102564}",
     41984,       123,         0,   0.019,pymatching,1e9c6188347ec4dfe96ab1ce77aebfb44bf1f823ad0f9e3b89ef57e754177b45,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0011}",
     32017,         1,         0,   0.009,pymatching,dc8bda1995324ee6a5c6afadafabba91d40de400168439e230efa636082ed515,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0001291549665014884}",
     11537,       204,         0,   0.010,pymatching,8fc6a6a8a4c73131701358be95c11938d211626f931fe17f9c6be438062f3439,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0028820512820512817}",
      5393,       419,         0,   0.010,pymatching,6b384fce87585be41c55ce0c928a4e1a8793cf2e27424e21c6166327d83215ea,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.006446153846153846}",
      6417,       425,         0,   0.011,pymatching,a0a2eea2adbc5fdef4b1667963ccd339c3f17e7578604ed6219793d619725061,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00608974358974359}",
      8465,       281,         0,   0.010,pymatching,9fc99b1ad721627c76e8f5e539cd7037e0d4bbbae6fbbda754305464f21e42b3,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.0043076923076923075}",
      7441,       350,         0,   0.011,pymatching,7c420c1b60aca34e58168d2c6cca0026e154703c6b38808c45c8a2a36c2f68cd,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.00502051282051282}",
      5393,       424,         0,   0.010,pymatching,747437831d25d9a91645ce1ed15462d4e738a98cedf16d8c25f21ebf8767b9f4,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.006802564102564103}",
     72704,         0,         0,   0.018,pymatching,f21d9e37ce436187bae8f7639dd653d88ec48c67fe2582a8ebf4a325a916f83e,"{""config"":[""Z0"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      7168,       758,         0,   0.015,pymatching,2b068f9779f4911e8bcfd9f06e63e46524f76870e93ca12febbe4bbf61aaf6dc,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.008228205128205128}",
      9216,       551,         0,   0.014,pymatching,1859d5bb2fb5489995f7059d20a2423b9d54c9f8e2d5830c8150e73207424a1a,"{""config"":[""Z0"",""Z""],""d"":3,""p"":0.005733333333333333}",
