     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,       276,         0,   0.027,pymatching,00636cd0530a73adb7feea4756c1a39ec5f8db08a41ae00720f6524ca02c0b10,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0029256410256410254}",
      4369,         1,         0,   0.012,pymatching,f97254612591b35a7dab1375a634d5946cb090d88109cb687aee6faa4bdad356,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":4.641588833612782e-05}",
       273,       118,         0,   0.011,pymatching,d4c577c4b94d7cd0ef7cdf0eab621f91b040fa373e8ed5fef48f04692d44b8ff,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.005664102564102564}",
      3345,         0,         0,   0.010,pymatching,32d559b2935b105b1a5afe69ba79f226ff6ff4e6568a1a64602ceb761f4b12ae,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":7.742636826811278e-05}",
      1024,       232,         0,   0.020,pymatching,00636cd0530a73adb7feea4756c1a39ec5f8db08a41ae00720f6524ca02c0b10,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0029256410256410254}",
      6144,         0,         0,   0.014,pymatching,f97254612591b35a7dab1375a634d5946cb090d88109cb687aee6faa4bdad356,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      4369,         0,         0,   0.011,pymatching,7279cdfd0be65a41add88b730f6497cfc2ee482385f1c718a75f1b09f365a54c,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      4369,         0,         0,   0.011,pymatching,294633fe0c8c72f0c1f8317a4e2dd2022ede667f0f3714f13a50fb2fe4b29406,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":1e-05}",
      6144,         1,         0,   0.016,pymatching,32d559b2935b105b1a5afe69ba79f226ff6ff4e6568a1a64602ceb761f4b12ae,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":7.742636826811278e-05}",
      6144,         0,         0,   0.014,pymatching,7279cdfd0be65a41add88b730f6497cfc2ee482385f1c718a75f1b09f365a54c,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      1024,       206,         0,   0.020,pymatching,00636cd0530a73adb7feea4756c1a39ec5f8db08a41ae00720f6524ca02c0b10,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0029256410256410254}",
      7168,         0,         0,   0.016,pymatching,294633fe0c8c72f0c1f8317a4e2dd2022ede667f0f3714f13a50fb2fe4b29406,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":1e-05}",
      8192,         0,         0,   0.020,pymatching,f97254612591b35a7dab1375a634d5946cb090d88109cb687aee6faa4bdad356,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      2321,        11,         0,   0.011,pymatching,a350138c50f9d1de2900c1aa169c37edf767121c765690d8b9f865d0ccd8042c,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.00035938136638046257}",
      1297,        69,         0,   0.014,pymatching,cf3f2d97da68683aac1cc0a3247adf08c2ed87ebc9b61bf3693d25025642482e,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0013282051282051282}",
