     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3345,         1,         0,   0.010,pymatching,59315a62b5215af6353b63d5971c08f0a08f422cf19a7c849091b2b242539221,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      1297,       241,         0,   0.016,pymatching,ac222dbcfedd7808c1d0eb01b5bcc4ff957d77bdb0a0f0dc693ba06d455282c1,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0015564102564102566}",
      4369,         0,         0,   0.012,pymatching,ffbe205f2a9483cfd956d6074d6c4d77d8c4f27d2373a30189de3ce3cfdf89d8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      3345,         1,         0,   0.011,pymatching,3dd0c2a8f414308850023a831d89b491f929dd9621771f1f02ce8be11d0c4399,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":7.742636826811278e-05}",
      6144,         4,         0,   0.015,pymatching,59315a62b5215af6353b63d5971c08f0a08f422cf19a7c849091b2b242539221,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":4.641588833612782e-05}",
      6144,         1,         0,   0.015,pymatching,ffbe205f2a9483cfd956d6074d6c4d77d8c4f27d2373a30189de3ce3cfdf89d8,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":2.782559402207126e-05}",
      1297,       600,         0,   0.035,pymatching,dcaa9d6a1579d26567db349211efe1f3edf8ca2ccaf67f1e4faf0e5bd7b7d6f2,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.004294871794871795}",
      1297,       127,         0,   0.012,pymatching,5af3b38630f6c697e6cde8cd835067346614b56bd847a7515811a4c28478dc04,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.001}",
      2048,       372,         0,   0.023,pymatching,ac222dbcfedd7808c1d0eb01b5bcc4ff957d77bdb0a0f0dc693ba06d455282c1,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0015564102564102566}",
      6144,         3,         0,   0.016,pymatching,3dd0c2a8f414308850023a831d89b491f929dd9621771f1f02ce8be11d0c4399,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":7.742636826811278e-05}",
      3345,         6,         0,   0.012,pymatching,b5484a06ace53a4e7d12d6889ff525212286480697310a8cd197356aafe83078,"{""config"":[""I0"",""Z0"",""Z"",""Z""],""d"":3,""p"":0.0001291549665014884}",
