     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,       116,         0,   0.011,pymatching,af70f106c56ebb51c51b069083e3fdbb08402f14f1e5ae342e6cfd3a9f26177e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      4369,         0,         0,   0.011,pymatching,f07d5d24762e346adf083e1219ebe8ffbf9394175a5dfe505d894528e3f0d5a6,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      4369,         0,         0,   0.011,pymatching,7403a3d80edeb777ee44a9734a44556dc214c612275f8ea3101f5e6cf2a923ef,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      1297,       561,         0,   0.039,pymatching,523c1c6f1cf0ee3e25a01b6f8a1ffc2296ff780766a17753586e33e1c4d46186,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.004294871794871795}",
      2048,       198,         0,   0.015,pymatching,af70f106c56ebb51c51b069083e3fdbb08402f14f1e5ae342e6cfd3a9f26177e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      1297,       364,         0,   0.020,pymatching,9beeb7525e0450995c358a655b82d1b52c303b30f9f6ac73f5ff26cfa2febd6a,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.002241025641025641}",
      7168,         0,         0,   0.015,pymatching,f07d5d24762e346adf083e1219ebe8ffbf9394175a5dfe505d894528e3f0d5a6,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      1297,       161,         0,   0.014,pymatching,95b9fd860f0fc4978878fc0de70e9aeaa26e696b50062dbaead1a9f031dfe7a1,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0013282051282051282}",
      7168,         0,         0,   0.015,pymatching,7403a3d80edeb777ee44a9734a44556dc214c612275f8ea3101f5e6cf2a923ef,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
       273,       118,         0,   0.011,pymatching,a65f23e0f5783057c4e1468df9c3acdca7b9faa92257843562c6752f808064e8,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00497948717948718}",
       273,       128,         0,   0.014,pymatching,909bd7366ed5bb40eb57f516f2541d6582f1d38f011a066ed94068b6a782d76b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.007033333333333333}",
      1024,       289,         0,   0.015,pymatching,9beeb7525e0450995c358a655b82d1b52c303b30f9f6ac73f5ff26cfa2febd6a,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.002241025641025641}",
      3072,       285,         0,   0.022,pymatching,af70f106c56ebb51c51b069083e3fdbb08402f14f1e5ae342e6cfd3a9f26177e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      1297,       475,         0,   0.025,pymatching,99ca4159ea6d0613ee3b1388e162adc15f2fed497c121ce2910d0953054f2fcd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0029256410256410254}",
       273,       128,         0,   0.013,pymatching,4279c180fd9ffcb676ce74ec1fdda7c3bb2d830d407ea443a36fbedfaed4ce13,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.005664102564102564}",
       273,       133,         0,   0.017,pymatching,75e6ca905df0532b9b98ed97bcdd31059c9113bd2730eb6be30cd4e322d2365f,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.004751282051282051}",
      4369,         1,         0,   0.010,pymatching,3cfaeae2f828d6a64bb2765b3d169c6bc1ae5c6969d5579112fc7945725973ca,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
      1024,       455,         0,   0.029,pymatching,523c1c6f1cf0ee3e25a01b6f8a1ffc2296ff780766a17753586e33e1c4d46186,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.004294871794871795}",
      2048,       248,         0,   0.018,pymatching,95b9fd860f0fc4978878fc0de70e9aeaa26e696b50062dbaead1a9f031dfe7a1,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0013282051282051282}",
       273,       132,         0,   0.011,pymatching,f5f0b0cdbd0f6d50db7423f606573bc50c8a876c0dd9de30ba723d606135fd34,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.005207692307692308}",
     10240,         1,         0,   0.021,pymatching,f07d5d24762e346adf083e1219ebe8ffbf9394175a5dfe505d894528e3f0d5a6,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      9216,         0,         0,   0.020,pymatching,7403a3d80edeb777ee44a9734a44556dc214c612275f8ea3101f5e6cf2a923ef,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      2321,        21,         0,   0.010,pymatching,42bad2fc9fc3cab29b117b80c8435ae1d9870f2beb12b8937b4d78df0b68a9cd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00035938136638046257}",
      1024,       331,         0,   0.018,pymatching,99ca4159ea6d0613ee3b1388e162adc15f2fed497c121ce2910d0953054f2fcd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0029256410256410254}",
      7168,         0,         0,   0.015,pymatching,3cfaeae2f828d6a64bb2765b3d169c6bc1ae5c6969d5579112fc7945725973ca,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
       273,       142,         0,   0.015,pymatching,2e18843f98fccfccbee0678537c06638005d3de03f666c35de4142a7522f9ccd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.007946153846153846}",
      2048,       566,         0,   0.029,pymatching,9beeb7525e0450995c358a655b82d1b52c303b30f9f6ac73f5ff26cfa2febd6a,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.002241025641025641}",
      1024,       499,         0,   0.034,pymatching,a65f23e0f5783057c4e1468df9c3acdca7b9faa92257843562c6752f808064e8,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00497948717948718}",
      1297,       215,         0,   0.014,pymatching,e18be0d7898d15e999a32fd0a7a89ec2f88902e3d50fe445b8e54b46e9be954c,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0015564102564102566}",
      4096,       388,         0,   0.029,pymatching,af70f106c56ebb51c51b069083e3fdbb08402f14f1e5ae342e6cfd3a9f26177e,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0011}",
      4096,        37,         0,   0.015,pymatching,42bad2fc9fc3cab29b117b80c8435ae1d9870f2beb12b8937b4d78df0b68a9cd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00035938136638046257}",
      3072,       384,         0,   0.028,pymatching,95b9fd860f0fc4978878fc0de70e9aeaa26e696b50062dbaead1a9f031dfe7a1,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0013282051282051282}",
       273,       141,         0,   0.019,pymatching,b91441694bc6ce6739150f43c8c30b1a2de7d2fde89b9a2ced04001027216fbd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.009543589743589743}",
     13312,         1,         0,   0.028,pymatching,f07d5d24762e346adf083e1219ebe8ffbf9394175a5dfe505d894528e3f0d5a6,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      1024,       492,         0,   0.029,pymatching,523c1c6f1cf0ee3e25a01b6f8a1ffc2296ff780766a17753586e33e1c4d46186,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.004294871794871795}",
     13312,         0,         0,   0.029,pymatching,7403a3d80edeb777ee44a9734a44556dc214c612275f8ea3101f5e6cf2a923ef,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1e-05}",
      1024,       508,         0,   0.045,pymatching,909bd7366ed5bb40eb57f516f2541d6582f1d38f011a066ed94068b6a782d76b,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.007033333333333333}",
       273,       137,         0,   0.015,pymatching,2f43101b64c866b23e548943abf326f0fb4a85ac28577f4efc19e0466e03ead9,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.006576923076923077}",
     10240,         0,         0,   0.021,pymatching,3cfaeae2f828d6a64bb2765b3d169c6bc1ae5c6969d5579112fc7945725973ca,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
      1024,       481,         0,   0.036,pymatching,f5f0b0cdbd0f6d50db7423f606573bc50c8a876c0dd9de30ba723d606135fd34,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.005207692307692308}",
      1024,       528,         0,   0.041,pymatching,4279c180fd9ffcb676ce74ec1fdda7c3bb2d830d407ea443a36fbedfaed4ce13,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.005664102564102564}",
      2048,       304,         0,   0.020,pymatching,e18be0d7898d15e999a32fd0a7a89ec2f88902e3d50fe445b8e54b46e9be954c,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0015564102564102566}",
      2048,       547,         0,   0.029,pymatching,9beeb7525e0450995c358a655b82d1b52c303b30f9f6ac73f5ff26cfa2febd6a,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.002241025641025641}",
      6144,        61,         0,   0.023,pymatching,42bad2fc9fc3cab29b117b80c8435ae1d9870f2beb12b8937b4d78df0b68a9cd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.00035938136638046257}",
      2048,       736,         0,   0.036,pymatching,99ca4159ea6d0613ee3b1388e162adc15f2fed497c121ce2910d0953054f2fcd,"{""config"":[""X+"",""I0"",""X"",""X""],""d"":3,""p"":0.0029256410256410254}",
