     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,       122,         0,   0.013,pymatching,8b33da9da835729829e59309d80545e2a1908998e40b8bd316e9e847fa2a6f50,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.00608974358974359}",
      4369,         0,         0,   0.012,pymatching,cbba2f70e706e25f98fadb6948994c34193e44e04e5c37f4b71698b2e278358c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1e-05}",
      3345,         1,         0,   0.011,pymatching,f0145a6273e546422df2ce6c124e458c7b02e779b218c27ec81811ae6b14c2eb,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0001291549665014884}",
      2321,         7,         0,   0.010,pymatching,58a31f8b6b43f42ac5dfbcc28b7796ce18910d89c22e0f03ca9059a27f9848a6,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.00035938136638046257}",
      6144,         0,         0,   0.014,pymatching,cbba2f70e706e25f98fadb6948994c34193e44e04e5c37f4b71698b2e278358c,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1e-05}",
      4369,         1,         0,   0.011,pymatching,f38aacfbde9c88c4a6e43c66942fd395e94d6078bdb9a4f036e10a4b50d6ae76,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":2.782559402207126e-05}",
      4369,         2,         0,   0.011,pymatching,712040966304b93d0dc9c8fdd4150fd58e80a55e456c99b60bbf7dcabac7ea37,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":7.742636826811278e-05}",
      5120,         1,         0,   0.015,pymatching,f0145a6273e546422df2ce6c124e458c7b02e779b218c27ec81811ae6b14c2eb,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0001291549665014884}",
      4096,        27,         0,   0.014,pymatching,58a31f8b6b43f42ac5dfbcc28b7796ce18910d89c22e0f03ca9059a27f9848a6,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.00035938136638046257}",
      4369,         0,         0,   0.012,pymatching,8671bce6d8470354a3057422a275937ace8dda28f2c7136ecdb014ac0e697900,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":1.6681005372000593e-05}",
      1297,        64,         0,   0.012,pymatching,7a3d6a153d67d6753b5335c7122d35d090e908c6767d190296c9ef15aceea29e,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0011}",
      1297,       132,         0,   0.016,pymatching,f347d2f861eb9a76a9e51fb2f5271636bb13ea577bfce971576669a13d28d0d4,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.0018128205128205128}",
      1297,       296,         0,   0.027,pymatching,662407feb5fd8c8f778f34a01933c76144ca20f899d84350ba46857f2d032d41,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.003238461538461538}",
      7168,         1,         0,   0.015,pymatching,f38aacfbde9c88c4a6e43c66942fd395e94d6078bdb9a4f036e10a4b50d6ae76,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":2.782559402207126e-05}",
      6144,         0,         0,   0.014,pymatching,712040966304b93d0dc9c8fdd4150fd58e80a55e456c99b60bbf7dcabac7ea37,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":7.742636826811278e-05}",
      1024,       435,         0,   0.044,pymatching,8b33da9da835729829e59309d80545e2a1908998e40b8bd316e9e847fa2a6f50,"{""config"":[""Z0"",""I0"",""Z"",""I""],""d"":3,""p"":0.00608974358974359}",
